Cluster,num_customers,pct_customers,avg_recency,median_recency,avg_frequency,avg_monetary,median_monetary,total_revenue,pct_revenue
Cluster 2,4335,13.032890385424809,17.47128027681661,12.0,11.641753171856978,5990.12492272203,3104.36,25967191.54,57.30277095489473
Cluster 0,9221,27.72232577716313,68.141416332285,51.0,3.313740375230452,1354.1117807179264,1004.4,12486264.73,27.55390650556932
Cluster 1,13521,40.649990980698696,132.84742252791952,111.0,1.172990163449449,274.4799526662229,241.09,3711243.44,8.18973944381263
Cluster 3,6185,18.594792856713365,12.530638641875505,12.0,1.7634599838318512,509.4696329830235,403.61,3151069.68,6.953583095723315
